Domain,Title,Link
CS,Attention Is All You Need,https://arxiv.org/abs/1706.03762
CS,Adam: A Method for Stochastic Optimization,https://arxiv.org/abs/1412.6980
CS,Deep Residual Learning for Image Recognition,https://arxiv.org/abs/1512.03385
CS,Generative Adversarial Nets,https://arxiv.org/abs/1406.2661
CS,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,https://arxiv.org/abs/1810.04805
CS,Playing Atari with Deep Reinforcement Learning,https://arxiv.org/abs/1312.5602
CS,Mastering the game of Go without human knowledge,https://arxiv.org/abs/1712.01815
CS,Language Models are Few-Shot Learners,https://arxiv.org/abs/2005.14165
CS,Dropout: A Simple Way to Prevent Neural Networks from Overfitting,https://arxiv.org/abs/1207.0580
CS,Batch Normalization: Accelerating Deep Network Training by Reducing Internal Covariate Shift,https://arxiv.org/abs/1502.03167
CS,Auto-Encoding Variational Bayes,https://arxiv.org/abs/1312.6114
CS,Show and Tell: A Neural Image Caption Generator,https://arxiv.org/abs/1411.4555
CS,Sequence to Sequence Learning with Neural Networks,https://arxiv.org/abs/1409.3215
CS,Neural Machine Translation by Jointly Learning to Align and Translate,https://arxiv.org/abs/1409.0473
CS,Word2Vec: Efficient Estimation of Word Representations in Vector Space,https://arxiv.org/abs/1301.3781
CS,Distributed Representations of Words and Phrases and their Compositionality,https://arxiv.org/abs/1310.4546
CS,Very Deep Convolutional Networks for Large-Scale Image Recognition,https://arxiv.org/abs/1409.1556
CS,Going Deeper with Convolutions,https://arxiv.org/abs/1409.4842
CS,U-Net: Convolutional Networks for Biomedical Image Segmentation,https://arxiv.org/abs/1505.04597
CS,Mask R-CNN,https://arxiv.org/abs/1703.06870
CS,Faster R-CNN: Towards Real-Time Object Detection with Region Proposal Networks,https://arxiv.org/abs/1506.01497
CS,You Only Look Once: Unified Real-Time Object Detection,https://arxiv.org/abs/1506.02640
CS,SSD: Single Shot MultiBox Detector,https://arxiv.org/abs/1512.02325
CS,XGBoost: A Scalable Tree Boosting System,https://arxiv.org/abs/1603.02754
CS,Graph Convolutional Networks for Semi-Supervised Classification,https://arxiv.org/abs/1609.02907
CS,Graph Attention Networks,https://arxiv.org/abs/1710.10903
CS,Inductive Representation Learning on Large Graphs,https://arxiv.org/abs/1706.02216
CS,Semi-Supervised Classification with Graph Convolutional Networks,https://arxiv.org/abs/1609.02907
CS,Deep Reinforcement Learning with Double Q-learning,https://arxiv.org/abs/1509.06461
CS,Continuous control with deep reinforcement learning,https://arxiv.org/abs/1509.02971
CS,Asynchronous Methods for Deep Reinforcement Learning,https://arxiv.org/abs/1602.01783
CS,Proximal Policy Optimization Algorithms,https://arxiv.org/abs/1707.06347
CS,Neural Turing Machines,https://arxiv.org/abs/1410.5401
CS,Memory Networks,https://arxiv.org/abs/1410.3916
CS,End-To-End Memory Networks,https://arxiv.org/abs/1503.08895
CS,Pointer Networks,https://arxiv.org/abs/1506.03134
CS,A Neural Conversational Model,https://arxiv.org/abs/1506.05869
CS,GloVe: Global Vectors for Word Representation,https://arxiv.org/search/?query=GloVe+Global+Vectors&searchtype=title
CS,ELMo: Deep contextualized word representations,https://arxiv.org/abs/1802.05365
CS,RoBERTa: A Robustly Optimized BERT Pretraining Approach,https://arxiv.org/abs/1907.11692
CS,ALBERT: A Lite BERT for Self-supervised Learning of Language Representations,https://arxiv.org/abs/1909.11942
CS,T5: Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer,https://arxiv.org/abs/1910.10683
CS,DistilBERT a distilled version of BERT: smaller faster cheaper and lighter,https://arxiv.org/abs/1910.01108
CS,GauGAN: Semantic Image Synthesis with Spatially-Adaptive Normalization,https://arxiv.org/abs/1903.07291
CS,StyleGAN: A Style-Based Generator Architecture for Generative Adversarial Networks,https://arxiv.org/abs/1812.04948
CS,StyleGAN2: Analyzing and Improving the Image Quality of StyleGAN,https://arxiv.org/abs/1912.04958
