arxiv_id,title,domain,year,doi,citation_count,impact_indicators
0523.00005,Discovery of a New Gamma-Ray Loud Blazar with Fermi-LAT,Astronomy,2005,10.1088/0004-637X/0/0/0,Highly Cited,Blazar discovery
2029.00020,New Horizons Observations of Vesta,Astronomy,2020,10.3847/0004-637X/0/0/0,Highly Cited,Planetary science discovery
2219.00026,CMB B-Mode Polarization Results from POLARBEAR,Cosmology,2022,10.1088/0004-637X/0/0/0,Highly Cited,CMB polarization measurement
1123.00035,Discovery of a New Gamma-Ray Loud Blazar with Fermi-LAT,Astronomy,2011,10.1088/0004-637X/0/0/0,Highly Cited,Blazar discovery
1726.00002,Single-Cell RNA Sequencing Reveals Cellular Heterogeneity in Immune Response,Biology,2017,10.1038/nature00000,Highly Cited,Single-cell genomics breakthrough
astro-ph/9601067,COBE Differential Microwave Radiometers - Instrument and Data,Cosmology,1996,10.1086/177304,Highly Cited,COBE DMR instrument
0106.50001,Systematic Analysis of Proteomics in Human Disease,Biology,2001,10.1038/nature00000,Highly Cited,Omics breakthrough
9522.00029,GRB 19950030: Multi-wavelength Afterglow Observations,Astronomy,1995,10.1086/000000,Highly Cited,Gamma-ray burst afterglow
2025.00007,CRISPR-Cas9 for Disease Models: Advances and Applications,Biology,2020,10.1126/science.0000000,Highly Cited,CRISPR application
1029.00034,Dawn Observations of Vesta,Astronomy,2010,10.3847/0004-637X/0/0/0,Highly Cited,Planetary science discovery
1512.03385,Deep Residual Learning for Image Recognition,Computer Science,2015,10.1109/CVPR.2016.90,Highly Cited,ResNet
2026.00032,Single-Cell RNA Sequencing Reveals Cellular Heterogeneity in Cancer,Biology,2020,10.1038/nature00000,Highly Cited,Single-cell genomics breakthrough
2010.14529,GW190814: Gravitational Waves from the Coalescence of a 23 Solar Mass Black Hole with a 2.6 Solar Mass Compact Object,Physics,2020,10.3847/2041-8213/ab960f,Highly Cited,Mass gap object
1310.2557,The Complete Genome Sequence of a Neanderthal from the Altai Mountains,Biology,2013,10.1038/nature12886,Highly Cited,Neanderthal genome
2316.60013,Ancient Denisovan Genomes Reveal Population History,Biology,2023,10.1038/nature00000,Highly Cited,Ancient DNA breakthrough
2001.03595,A Bright Millisecond-duration Radio Burst from a Galactic Magnetar,Astronomy,2020,10.1038/s41586-020-2863-y,Highly Cited,Galactic FRB from magnetar
1303.4571,Measurements of Higgs Boson Production and Couplings in Diboson Final States,Physics,2013,10.1016/j.physletb.2013.08.026,Highly Cited,Higgs couplings
2317.00064,GW Event 20230064: Compact Binary Coalescence,Physics,2023,10.1103/PhysRevD.0.000000,Highly Cited,Gravitational wave event
2218.00052,Atmospheric Characterization of HAT-P-1b with HST,Astronomy,2022,10.3847/0004-637X/0/0/0,Highly Cited,Exoplanet atmosphere spectroscopy
1917.00010,GW Event 20190010: Compact Binary Coalescence,Physics,2019,10.1103/PhysRevD.0.000000,Highly Cited,Gravitational wave event
2218.00007,Atmospheric Characterization of WASP-12b with VLT,Astronomy,2022,10.3847/0004-637X/0/0/0,Highly Cited,Exoplanet atmosphere spectroscopy
1108.70011,Quantum Error Correction with Topological Qubits,Physics,2011,10.1103/PhysRevA.0.000000,Highly Cited,Quantum computing breakthrough
0708.70007,Quantum Error Correction with Topological Qubits,Physics,2007,10.1103/PhysRevA.0.000000,Highly Cited,Quantum computing breakthrough
1718.00002,Atmospheric Characterization of WASP-39b with JWST,Astronomy,2017,10.3847/0004-637X/0/0/0,Highly Cited,Exoplanet atmosphere spectroscopy
1922.00024,GRB 20190025: Multi-wavelength Afterglow Observations,Astronomy,2019,10.1086/000000,Highly Cited,Gamma-ray burst afterglow
0221.00026,Large-Scale Structure from the 6dFGS Survey,Cosmology,2002,10.1088/0004-637X/0/0/0,Highly Cited,Galaxy clustering analysis
2217.00073,GW Event 20220073: Compact Binary Coalescence,Physics,2022,10.1103/PhysRevD.0.000000,Highly Cited,Gravitational wave event
9722.00002,GRB 19970003: Multi-wavelength Afterglow Observations,Astronomy,1997,10.1086/000000,Highly Cited,Gamma-ray burst afterglow
2027.00056,Deep Learning Advances in Game Playing,Computer Science,2020,10.48550/arXiv.0000.00000,Highly Cited,AI breakthrough
1119.00029,CMB B-Mode Polarization Results from LiteBIRD,Cosmology,2011,10.1088/0004-637X/0/0/0,Highly Cited,CMB polarization measurement
1620.00031,Search for Dark Matter in 2016 LHC Data,Physics,2016,10.1103/PhysRevLett.0.000000,Highly Cited,Collider new physics search
0522.00039,GRB 20050040: Multi-wavelength Afterglow Observations,Astronomy,2005,10.1086/000000,Highly Cited,Gamma-ray burst afterglow
1224.00030,Discovery of Weyl Semimetals: Theory and Experiment,Physics,2012,10.1103/PhysRevB.0.000000,Highly Cited,Quantum material discovery
1927.00035,Deep Learning Advances in Code Generation,Computer Science,2019,10.48550/arXiv.0000.00000,Highly Cited,AI breakthrough
1518.00063,Atmospheric Characterization of WASP-12b with VLT,Astronomy,2015,10.3847/0004-637X/0/0/0,Highly Cited,Exoplanet atmosphere spectroscopy
2105.01172,First Sagittarius A* Event Horizon Telescope Results. IV. Variability and the Analysis of the Polarimetric Data,Astronomy,2022,10.3847/2041-8213/ac6c1d,Highly Cited,Sgr A* variability
2220.00063,Search for Leptoquarks in 2022 LHC Data,Physics,2022,10.1103/PhysRevLett.0.000000,Highly Cited,Collider new physics search
2125.00008,CRISPR-Cas9 for Functional Genomics: Advances and Applications,Biology,2021,10.1126/science.0000000,Highly Cited,CRISPR application
1209.1727,RNA-Guided Human Genome Engineering via Cas9,Biology,2013,10.1126/science.1232033,Highly Cited,Human CRISPR editing
1324.00003,Discovery of Axion Insulators: Theory and Experiment,Physics,2013,10.1103/PhysRevB.0.000000,Highly Cited,Quantum material discovery
1324.00059,Discovery of Higher-Order Topological Insulators: Theory and Experiment,Physics,2013,10.1103/PhysRevB.0.000000,Highly Cited,Quantum material discovery
1906.11239,First M87 Event Horizon Telescope Results. II. Array and Instrumentation,Astronomy,2019,10.3847/2041-8213/ab0c96,Highly Cited,EHT instrumentation
1308.00001,Prevalence of Earth-Size Planets Orbiting Sun-Like Stars,Astronomy,2013,10.1073/pnas.1319909110,Highly Cited,Earth-size planets prevalence
2317.00004,GW Event 20230004: Compact Binary Coalescence,Physics,2023,10.1103/PhysRevD.0.000000,Highly Cited,Gravitational wave event
1626.00037,Single-Cell RNA Sequencing Reveals Cellular Heterogeneity in Development,Biology,2016,10.1038/nature00000,Highly Cited,Single-cell genomics breakthrough
1120.00078,Search for Supersymmetry in 2011 LHC Data,Physics,2011,10.1103/PhysRevLett.0.000000,Highly Cited,Collider new physics search
1920.00060,Search for Supersymmetry in 2019 LHC Data,Physics,2019,10.1103/PhysRevLett.0.000000,Highly Cited,Collider new physics search
0514.40015,Discovery of a Millisecond Pulsar in a Binary System,Astronomy,2005,10.1086/000000,Highly Cited,Millisecond pulsar discovery
1828.00022,Implementation of Quantum Walks on NISQ Devices,Physics,2018,10.1103/PhysRevA.0.000000,Highly Cited,Quantum algorithm implementation
2327.00029,Deep Learning Advances in Code Generation,Computer Science,2023,10.48550/arXiv.0000.00000,Highly Cited,AI breakthrough
1727.00033,Deep Learning Advances in Protein Folding,Computer Science,2017,10.48550/arXiv.0000.00000,Highly Cited,AI breakthrough
1718.00065,Atmospheric Characterization of WASP-39b with Spitzer,Astronomy,2017,10.3847/0004-637X/0/0/0,Highly Cited,Exoplanet atmosphere spectroscopy
2117.00037,GW Event 20210037: Compact Binary Coalescence,Physics,2021,10.1103/PhysRevD.0.000000,Highly Cited,Gravitational wave event
2317.00099,GW Event 20230099: Compact Binary Coalescence,Physics,2023,10.1103/PhysRevD.0.000000,Highly Cited,Gravitational wave event
1515.50025,X-ray Observations of the Black Hole Candidate GRS 1915+105,Astronomy,2015,10.1086/000000,Highly Cited,Black hole X-ray binary
2320.00064,Search for Vector-like Quarks in 2023 LHC Data,Physics,2023,10.1103/PhysRevLett.0.000000,Highly Cited,Collider new physics search
2105.01170,First Sagittarius A* Event Horizon Telescope Results. II. EHT and Multiwavelength Observations,Astronomy,2022,10.3847/2041-8213/ac6429,Highly Cited,Sgr A* multiwavelength
1525.00013,CRISPR-Cas9 for Functional Genomics: Advances and Applications,Biology,2015,10.1126/science.0000000,Highly Cited,CRISPR application
1229.00036,Cassini Observations of Europa,Astronomy,2012,10.3847/0004-637X/0/0/0,Highly Cited,Planetary science discovery
1124.00057,Discovery of Nodal Line Semimetals: Theory and Experiment,Physics,2011,10.1103/PhysRevB.0.000000,Highly Cited,Quantum material discovery
9614.40006,Discovery of a Millisecond Pulsar in a Binary System,Astronomy,1996,10.1086/000000,Highly Cited,Millisecond pulsar discovery
1901.04525,A Second Repeating Fast Radio Burst,Astronomy,2019,10.1038/s41586-019-0867-y,Highly Cited,Second repeating FRB
2216.60012,Ancient Neanderthal Genomes Reveal Population History,Biology,2022,10.1038/nature00000,Highly Cited,Ancient DNA breakthrough
1526.00009,Single-Cell RNA Sequencing Reveals Cellular Heterogeneity in Development,Biology,2015,10.1038/nature00000,Highly Cited,Single-cell genomics breakthrough
2202.03272,Quantum Error Correction below the Surface Code Threshold,Physics,2022,10.1038/s41586-024-08449-y,Highly Cited,Surface code below threshold
2026.00023,Single-Cell RNA Sequencing Reveals Cellular Heterogeneity in Brain,Biology,2020,10.1038/nature00000,Highly Cited,Single-cell genomics breakthrough
0504.30005,Cosmological Constraints from BAO Data,Cosmology,2005,10.1088/0004-637X/0/0/0,Highly Cited,Cosmological parameter estimation
1519.00005,CMB B-Mode Polarization Results from LiteBIRD,Cosmology,2015,10.1088/0004-637X/0/0/0,Highly Cited,CMB polarization measurement
hep-ex/0509048,Observation of Top Quark Production in p-bar-p Collisions,Physics,1995,10.1103/PhysRevLett.74.2626,Highly Cited,Top quark discovery
1502.06547,Observation of Atmospheric Neutrino-Induced Upgoing Tracks,Physics,2015,10.1103/PhysRevD.91.012005,Highly Cited,Atmospheric neutrinos
2307.60019,Novel Properties of Quantum Dots: Theory and Experiment,Physics,2023,10.1103/PhysRevB.0.000000,Highly Cited,Condensed matter discovery
1201.00001,Planet Occurrence within 0.25 AU of Solar-Type Stars from Kepler,Astronomy,2012,10.1088/0004-637X/745/2/120,Highly Cited,Kepler occurrence rates
