Domain,Title,Link
Physics,F-Theory and the Landscape of String Vacua,https://arxiv.org/abs/hep-th/0411139
Physics,Statistical Approach to the String Landscape,https://arxiv.org/abs/hep-th/0302219
Physics,BICEP2 Results: Cosmological Inflation and Primordial Gravitational Waves,https://arxiv.org/abs/1403.3985
Physics,Constraints on Inflation from Planck,https://arxiv.org/abs/1807.06211
Physics,The History of the Universe from the CMB,https://arxiv.org/search/?query=The+History+of+the+Universe+from+the+CMB&searchtype=title
Physics,Dark Matter Annihilation in the Galactic Center,https://arxiv.org/abs/1402.6703
Physics,LIGO-Virgo discoveries and the Dawn of Multi-Messenger Astronomy,https://arxiv.org/search/?query=Dawn+of+Multi-Messenger+Astronomy&searchtype=title
Physics,The Event Horizon Telescope: Mapping the M87 Black Hole Magnetic Field,https://arxiv.org/abs/2103.01633
Physics,Fast Radio Bursts: Discovered and Localized,https://arxiv.org/abs/1307.1628
Physics,Detection of Water Vapor in the Atmosphere of a Habitable-Zone Exoplanet,https://arxiv.org/abs/1909.04642
